"766
PL PATH","","","","","","","","","","","","","","","","","","",""
"","990
040","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","32","",".",".",".",".",".",".",".","31.3",".",".",".","68.8",".",".",".","."
"PL PATH
766","Dept. Total","176","3.656","55.7","12.5","7.4","4.0","1.1",".","0.6","5.7",".",".",".","12.5",".","0.6",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","19","3.367","52.6","15.8","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Junior","","33","3.709","66.7","24.2","6.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Senior","","46","3.675","67.4","13.0","13.0","4.3",".",".","2.2",".",".",".",".",".",".",".",".","."
"Undergraduates","","102","3.605","62.7","17.6","10.8","5.9","2.0",".","1.0",".",".",".",".",".",".",".",".","."
"Special","","2","***","","","","","","","","","",".",".",".",".","50.0",".","."
"Graduate","","72","3.825","47.2","5.6","1.4","1.4",".",".",".","13.9",".",".",".","30.6",".",".",".","."
"","Dept. Total","176","3.656","55.7","12.5","7.4","4.0","1.1",".","0.6","5.7",".",".",".","12.5",".","0.6",".","."
