"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"Comm B Topics in English Lit","140
001","141","3.295","21.3","36.9","33.3","2.8","1.4","0.7","2.1","0.7",".",".",".",".","0.7",".",".","."
"American Dreamers","145
001","250","3.297","18.0","37.6","33.6","8.0","2.0",".","0.4",".",".",".",".",".","0.4",".",".","."
"Lit & Culture of Asian America","150
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","162
001","192","3.800","78.6","12.0","4.2","1.6","1.0","1.0","0.5","1.0",".",".",".",".",".",".",".","."
"Modern Literature","168
001","26","3.333","30.8","19.2","26.9","11.5","3.8",".",".",".",".",".",".",".","7.7",".",".","."
"Literatures of Native America","172
001","14","3.643","64.3","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Popular Culture","177
001","217","3.454","37.8","35.9","13.4","6.5","5.1","0.5","0.5",".",".",".",".",".","0.5",".",".","."
"Intro to Literature for Honors","182
001","16","3.531","43.8","25.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Studio","200
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","18","3.778","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","201
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","18","3.611","61.1","22.2","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","201
005","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
201","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
201","19","3.842","84.2","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
010","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","184","3.897","90.2","4.9","3.3","0.5",".","0.5","0.5",".",".",".",".",".",".",".",".","."
"","207
001","13","3.577","69.2","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","207
002","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
003","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
004","14","3.714","57.1","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","005
207","16","3.656","68.8","12.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","006
207","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Creative Writing","Course Total","88","3.710","65.9","22.7","5.7","3.4","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"The English Language","214
001","96","3.573","44.8","32.3","17.7","3.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Literature and Culture I","241
001","93","3.000","30.1","18.3","17.2","16.1","4.3","5.4","5.4",".",".",".",".",".","1.1",".","2.2","."
"Literature and Culture II","242
001","96","3.221","18.8","38.5","20.8","15.6","3.1","1.0","1.0",".",".",".",".",".","1.0",".",".","."
"","245
001","19","3.684","52.6","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
002","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
003","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
004","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
005","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in the Major","Course Total","95","3.705","54.7","31.6","13.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248
001","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Composition & Rhetoric","304
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","14","3.792","57.1","21.4","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","002
307","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","43","3.866","74.4","16.3","4.7",".",".",".",".","4.7",".",".",".",".",".",".",".","."
"Structure of English","001
314","35","3.357","31.4","31.4","14.3","22.9",".",".",".",".",".",".",".",".",".",".",".","."
