"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"B M E","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","20","3.613","70.0","10.0","15.0","5.0",".",".",".",".","",".",".",".",".",".",".",".","."
"Junior","142","3.544","51.4","24.6","17.6","4.9","1.4",".",".",".","",".",".",".",".",".",".",".","."
"Senior","565","3.611","60.7","23.7","9.7","3.7","1.2","0.2","0.2",".","",".",".",".",".","0.4","0.2",".","."
"Undergraduates","730","3.596","59.0","23.6","11.4","4.0","1.4","0.1","0.1",".","",".",".",".",".","0.3","0.1",".","."
"Special","5","***","","","","","","","","","","",".","20.0",".",".",".",".","."
"Graduate","215","3.753","31.2","7.0","5.6","1.4",".",".",".","31.2","",".","17.2","0.5","5.6",".","0.5",".","."
"Prof Yr 4","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","3","***","","","","","","","","","","",".",".",".",".",".",".","."
