"OPERATIONS & TECHNOLOGY M Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","103","3.186","21.4","24.3","33.0","12.6","6.8","1.0",".",".",".",".",".",".",".","1.0",".","."
"","300
002","118","2.949","13.6","21.2","29.7","14.4","20.3","0.8",".",".",".",".",".",".",".",".",".","."
"","300
003","92","2.870","13.0","18.5","37.0","5.4","21.7","2.2","2.2",".",".",".",".",".",".",".",".","."
"","300
004","65","3.154","18.5","27.7","30.8","12.3","10.8",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","378","3.029","16.4","22.5","32.5","11.4","15.3","1.1","0.5",".",".",".",".",".",".","0.3",".","."
"","365
002","25","3.560","20.0","72.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","16","3.438","25.0","50.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","365
004","25","3.600","36.0","56.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","66","3.545","27.3","60.6","9.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","19","3.553","47.4","21.1","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","632
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","4","***","","","","","","","","","","","","","","","",""
"Production Planning&Control","654
001","31","3.903","87.1","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","700
030","54","3.704","55.6","29.6","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732
030","45","3.533","31.1","44.4","24.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Healthcare Ops Mgt","753
001","23","3.750","52.2","39.1","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","765
001","52","3.500","30.8","36.5","30.8",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"","002
765","52","3.596","44.2","32.7","21.2","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","41","3.738","46.3","51.2",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","765
030","34","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","40","3.788","57.5","42.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","219","3.665","45.2","41.1","12.3","0.5",".",".",".","0.5",".",".",".",".","0.5",".",".","."
"","799
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
149","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","2","***","","","","","","","","","","","","","","","",""
"PhD Thesis-Operatns&Inf Mgt","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","2","***","","","","","","","","","","","","","","","",""
