"LIBRARY & INFORMATION STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","640
010","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
011","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
012","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","108","3.931","90.7","7.4","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","644
001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Info Architecture","646
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","651
001","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","17","3.794","70.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Collection Management","Course Total","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Ethics and Policy","Course Total","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","712
002","19","3.868","84.2","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","Course Total","24","3.875","83.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"College & Univ Libraries","Course Total","18","3.778","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","751
001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
751","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","16","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
755","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronic Rsrce Mgt & Licnsng","Course Total","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Humanities Analytics","768
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","855
001","11","3.682","63.6","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","875
001","31","3.790","61.3","35.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Resrch Dsgn & Methodolgy-LIS","910
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"","999
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
