"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","120
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
120","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
003","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
004","24","3.729","58.3","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
120","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
006","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
120","19","3.789","73.7","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","120
008","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","180","3.914","87.8","7.8","3.9","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","20","3.675","50.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","27","3.611","25.9","70.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","24","3.833","79.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","25","3.720","44.0","56.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","28","3.839","67.9","32.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","25","3.540","36.0","60.0",".",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","300
007","24","3.708","50.0","45.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","008
300","24","3.625","29.2","66.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
300","24","3.646","45.8","41.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","25","3.440","32.0","48.0","16.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","300
012","24","3.750","79.2","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","300
013","23","3.696","47.8","47.8",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","25","3.640","32.0","64.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
300","23","3.652","34.8","60.9","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
300","24","3.563","33.3","54.2","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","017
300","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
018","26","3.596","23.1","73.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","415","3.667","45.8","48.0","4.1","1.2","0.2",".","0.7",".",".",".",".",".",".",".",".","."
"Business Law","301
001","368","2.950","6.5","13.0","52.4","20.9","6.5","0.5",".",".",".",".",".",".",".",".",".","."
"","302
001","29","3.707","58.6","24.1","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","25","3.700","56.0","36.0",".","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","54","3.704","57.4","29.6","9.3","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","69","3.065","23.2","17.4","30.4","10.1","17.4","1.4",".",".",".",".",".",".",".",".",".","."
"","306
002","107","3.056","26.2","16.8","27.1","11.2","14.0","4.7",".",".",".",".",".",".",".",".",".","."
"","306
003","112","3.050","24.1","16.1","27.7","13.4","16.1","0.9","0.9",".",".",".",".",".","0.9",".",".","."
"Business Analytics I","Course Total","288","3.056","24.7","16.7","28.1","11.8","15.6","2.4","0.3",".",".",".",".",".","0.3",".",".","."
"","307
001","96","3.167","11.5","43.8","21.9","18.8","2.1","1.0","1.0",".",".",".",".",".",".",".",".","."
"","002
307","99","3.172","11.1","38.4","29.3","18.2","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"","307
003","114","3.329","16.7","52.6","15.8","11.4","2.6","0.9",".",".",".",".",".",".",".",".",".","."
"","004
307","109","3.275","17.4","42.2","23.9","12.8","2.8","0.9",".",".",".",".",".",".",".",".",".","."
"","307
005","114","3.307","19.3","48.2","15.8","11.4","3.5","1.8",".",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","532","3.255","15.4","45.3","21.1","14.3","2.6","1.1","0.2",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
010","242","3.015","10.3","22.3","42.6","14.5","5.8","1.7","1.2","1.2",".",".",".",".",".",".","0.4","."
"Mgmt & Mrktg Non-Bus Majors","311
010","217","3.349","30.9","30.4","21.7","7.8","0.9",".","2.8","5.5",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
