"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","12","3.545","41.7","25.0","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","101
002","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
101","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","44","3.709","63.6","13.6","18.2","2.3",".",".",".","2.3",".",".",".",".",".",".",".","."
"","102
001","","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","","11","3.364","54.5","9.1","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","003
102","","21","3.714","71.4","9.5","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","005
102","","19","3.605","68.4","10.5","5.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","102
007","","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","83","3.620","62.7","14.5","14.5","3.6","3.6","1.2",".",".",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","203
001","","16","3.594","75.0","12.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","203
004","","18","3.444","44.4","16.7","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","34","3.515","58.8","14.7","14.7","5.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","204
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","19","3.789","84.2","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","004
204","","14","3.808","71.4","7.1","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","47","3.848","83.0","6.4","4.3","2.1","2.1",".",".","2.1",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","236
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","236
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bascom Course","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Topics-Dutch Life & Culture","245
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
002","","18","3.667","61.1","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","249
003","","18","3.639","55.6","27.8","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","249
004","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","","44","3.705","63.6","22.7","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","258
001","","12","3.583","75.0",".","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","258
002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
004","","14","3.393","64.3","7.1","7.1","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","","41","3.659","78.0","4.9","7.3","4.9",".","2.4","2.4",".",".",".",".",".",".",".",".","."
"","262
001","","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","262
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Nazi Culture","272
001","","84","3.863","86.9","8.3","2.4",".","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"Kafka and the Kafkaesque","275
001","","11","3.382","18.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","276
001","","21","3.667","81.0","9.5",".",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279
001","","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Literature","325
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
