"BIOSTATISTICS & MED INFORMA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"542
Intro to Clinical Trials I","003","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"552
Regression Methods-Pop Health","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567
Medical Image Analysis","001","","13","3.750","53.8","30.8","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"641
Stat Mthds for Clin Trials","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","63.6",".",".",".",".",".",".","9.1",".",".",".",".",".",".","27.3","."
"768
Stat Mthds-Medical Image Anlys","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"773
Clinical Research Informatics","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"776
Advanced Bioinformatics","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","004","","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","30.0","."
"826","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"826","008","","12","3.636","25.0","66.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","Course Total","","26","3.902","50.0","30.8",".",".",".",".",".","7.7",".",".",".",".",".",".","11.5","."
"899","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertator Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"915
Computn&Informatcs in Biol&Med","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
