"EDU","","","","","","","","","","","","","","","","","","","","",""
"KINESIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"KINES
742","Dept. Total","2165","3.464","50.3","17.1","13.1","5.3","6.1","1.8","0.5","4.0","",".","1.1","",".","0.2","0.3",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","102","3.070","37.3","16.7","16.7","6.9","17.6","4.9",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","250","3.326","48.4","16.0","20.0","4.0","8.0","2.8","0.8",".","",".",".","",".",".",".",".",".","."
"Junior","","380","3.280","45.5","17.1","17.4","5.8","10.5","2.9","0.8",".","",".",".","",".",".",".",".",".","."
"Senior","","1215","3.554","57.5","18.6","11.5","6.0","4.0","1.2","0.5","0.1","",".",".","",".",".","0.4",".","0.1","."
"Undergraduates","","1947","3.457","53.0","17.9","14.0","5.8","6.5","2.0","0.6","0.1","",".",".","",".",".","0.3",".","0.1","."
"Special","","115","3.394","15.7","9.6","7.0","0.9","3.5","0.9",".","58.3","",".",".","",".",".",".",".","4.3","."
"Graduate","","103","3.766","38.8","10.7","2.9","1.9",".",".",".","17.5","",".","23.3","",".","3.9","1.0",".",".","."
"","Dept. Total","2165","3.464","50.3","17.1","13.1","5.3","6.1","1.8","0.5","4.0","",".","1.1","",".","0.2","0.3",".","0.3","."
