"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"100
Survey of Botany","001","","105","3.195","37.1","12.4","25.7","5.7","18.1",".","1.0",".",".",".",".",".",".",".",".","."
"123
Plants, Parasites, & People","001","","61","3.100","21.3","24.6","31.1","8.2","6.6","6.6",".",".",".",".",".",".","1.6",".",".","."
"130
General Botany","001","","102","2.780","12.7","12.7","36.3","6.9","22.5","5.9","1.0","1.0",".",".",".",".",".","1.0",".","."
"151
Introductory Biology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"152","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"152","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"152","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"152","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","5","***","","","","","","","","","","","","","","","",""
"260
Introductory Ecology","001","","53","3.170","28.3","22.6","24.5","7.5","15.1","1.9",".",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Fungi","001","","13","3.538","61.5","7.7","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"340
Plant Cell Cult. & Genet. Eng.","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Vascular Flora of Wisconsin","001","","28","3.140","32.1","7.1","28.6","10.7","3.6","7.1",".","10.7",".",".",".",".",".",".",".","."
"410
Evolutionary Biology","001","","31","3.056","25.8","12.9","16.1","16.1","12.9","3.2",".","12.9",".",".",".",".",".",".",".","."
"460
General Ecology","001","","35","3.147","31.4","11.4","31.4","5.7","14.3","2.9",".",".",".",".",".",".","2.9",".",".","."
"473
Plant-Insect Interactions","001","","8","2.750","12.5",".","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"500","002","","22","2.841","22.7","13.6","31.8","9.1","9.1","9.1","4.5",".",".",".",".",".",".",".",".","."
"500","010","","14","3.500","42.9","21.4","21.4",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Plant Physiology","Course Total","","36","3.043","30.6","16.7","27.8","5.6","8.3","5.6","2.8","2.8",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"563
Phylogenetic Anal-Molec Data","001","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"575","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"575","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575","004","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"575","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"575","006","","14","4.000","78.6",".",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"575","007","","6","3.250","16.7","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","54","3.920","83.3","1.9","9.3",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"672
Historical Ecology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 182 of 426",""
