"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIATRY","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT
814","Dept. Total","129","3.713","38.0","10.1","9.3","",".","",".","",".","",".","0.8","",".",".","",".","",".","1.6",".","40.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","8","4.000","87.5",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","12.5",".",".","."
"Senior","","20","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","28","4.000","96.4",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","3.6",".",".","."
"Special","","52","",".",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".","100.0","."
"Prof Yr 3","","40","3.577","45.0","22.5","30.0","",".","",".","",".","",".",".","",".",".","",".","",".","2.5",".",".","."
"Prof Yr 4","","9","3.714","44.4","44.4",".","",".","",".","",".","",".","11.1","",".",".","",".","",".",".",".",".","."
"Professionals","","49","3.598","44.9","26.5","24.5","",".","",".","",".","",".","2.0","",".",".","",".","",".","2.0",".",".","."
"","Dept. Total","129","3.713","38.0","10.1","9.3","",".","",".","",".","",".","0.8","",".",".","",".","",".","1.6",".","40.3","."
