"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Advanced Seminar in History","Course Total","","106","3.772","62.3","24.5","7.5",".","0.9",".",".","0.9",".",".",".",".","3.8",".",".","."
"601
Historical Publishing","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Hist of Fed Role in Amer Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"670
Cap, Soc, Democ-Am 1890 on","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"680
Honors Thesis Colloquium","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.905","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706","001","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"706","002","","6","3.625","16.7","50.0",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Topics-Transnational History","Course Total","","14","3.850","50.0","21.4",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"710","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"710","002","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professional Development Sem","Course Total","","16","4.000","43.8",".",".",".",".",".",".","56.3",".",".",".",".",".",".",".","."
"712
Educ and Civil Rights Movement","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"752","001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"752","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transnational Gender History","Course Total","","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"755
Prosem-S E Asian History","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"845
Smr-Central European Hist","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"849
Smr-Hist Imp Russia, 1649-1917","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"850
Smr-Hist Su&Mod His Ec Eur","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"857
Smr-Hist of India (S Asia)","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"891","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
