"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","200
001","140","2.793","21.4","19.3","18.6","12.9","12.9","8.6","5.0","0.7",".",".",".",".","0.7",".",".","."
"","002
200","135","2.733","23.0","17.0","13.3","13.3","17.0","10.4","4.4","0.7",".",".",".",".",".",".",".","0.7"
"","200
003","129","3.064","26.4","19.4","19.4","17.8","9.3","2.3","2.3","1.6",".",".",".",".",".",".","0.8","0.8"
"","004
200","105","2.757","19.0","21.9","21.9","11.4","9.5","9.5","6.7",".",".",".",".",".",".",".",".","."
"Programming I","Course Total","509","2.837","22.6","19.3","18.1","13.9","12.4","7.7","4.5","0.8",".",".",".",".","0.2",".","0.2","0.4"
"","001
240","64","2.938","17.2","21.9","31.3","9.4","14.1","3.1","3.1",".",".",".",".",".",".",".",".","."
"","002
240","89","2.994","18.0","22.5","21.3","28.1","5.6","3.4","1.1",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","153","2.971","17.6","22.2","25.5","20.3","9.2","3.3","2.0",".",".",".",".",".",".",".",".","."
"","252
002","180","3.028","31.1","19.4","16.1","9.4","18.3","1.7","3.9",".",".",".",".",".",".",".",".","."
"","252
003","38","3.395","44.7","28.9","10.5","2.6","10.5",".","2.6",".",".",".",".",".",".",".",".","."
"","004
252","169","3.125","32.5","21.3","17.2","8.3","16.0","1.8","2.4",".",".",".",".",".",".",".",".","0.6"
"Intro to Computer Engineering","Course Total","387","3.106","33.1","21.2","16.0","8.3","16.5","1.6","3.1",".",".",".",".",".",".",".",".","0.3"
"Fund of Human-Comp Interaction","270
001","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Comp Sci","298
139","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","165","3.122","23.6","23.0","28.5","13.3","7.3","1.8","1.8","0.6",".",".",".",".",".",".",".","."
"","300
002","168","3.051","20.2","22.0","35.7","8.3","7.1","3.0","3.0",".",".",".",".",".",".",".",".","0.6"
"","300
003","101","2.703","14.9","9.9","29.7","21.8","11.9","8.9","3.0",".",".",".",".",".",".",".",".","."
"","300
004","52","2.635","13.5","9.6","36.5","21.2","3.8","5.8","9.6",".",".",".",".",".",".",".",".","."
"","005
300","57","3.026","15.8","22.8","33.3","14.0","10.5","3.5",".",".",".",".",".",".",".",".",".","."
"Programming II","Course Total","543","2.965","19.2","19.0","32.2","14.2","8.1","4.1","2.9","0.2",".",".",".",".",".",".",".","0.2"
"","301
001","138","3.270","36.2","22.5","17.4","10.1","8.0","2.9","0.7","1.4","0.7",".",".",".",".",".",".","."
"","002
301","143","3.196","32.2","25.2","18.2","9.1","7.0","4.9","1.4","2.1",".",".",".",".",".",".",".","."
"","301
003","120","3.207","35.8","17.5","22.5","7.5","7.5","4.2","1.7","3.3",".",".",".",".",".",".",".","."
"Intro Data Programming","Course Total","401","3.225","34.7","21.9","19.2","9.0","7.5","4.0","1.2","2.2","0.2",".",".",".",".",".",".","."
"","304
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
010","8","3.375","75.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","304
011","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WES-CS Group Meeting","Course Total","45","3.867","93.3",".","4.4",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"","310
001","123","3.163","26.0","15.4","38.2","8.1","7.3","0.8","1.6",".",".",".",".",".","2.4",".",".","."
"","310
002","151","3.156","22.5","13.9","43.0","5.3","9.3","1.3",".","0.7",".",".",".",".","4.0",".",".","."
"Prob Solvng Using Computers","Course Total","274","3.159","24.1","14.6","40.9","6.6","8.4","1.1","0.7","0.4",".",".",".",".","3.3",".",".","."
"","352
001","20","2.950","20.0","30.0","25.0","10.0","5.0",".","10.0",".",".",".",".",".",".",".",".","."
"","352
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","24","3.000","20.8","29.2","25.0","12.5","4.2",".","8.3",".",".",".",".",".",".",".",".","."
"","354
001","154","2.882","22.7","14.3","23.4","14.3","18.8","1.9","3.9",".",".",".",".",".",".",".",".","0.6"
"","002
354","141","2.868","27.7","12.1","21.3","14.2","14.2","4.3","5.7",".",".",".",".",".",".","0.7",".","."
"","354
003","72","3.697","65.3","16.7","9.7","4.2","2.8",".",".",".",".",".",".",".","1.4",".",".","."
"Machine Organizatn&Progrmng","Course Total","367","3.036","33.0","13.9","19.9","12.3","13.9","2.5","3.8",".",".",".",".",".","0.3","0.3",".","0.3"
"Intro to Data Structures","367
001","75","3.230","26.7","26.7","26.7","13.3","2.7",".","2.7","1.3",".",".",".",".",".",".",".","."
"","368
001","61","",".",".",".",".",".",".",".",".",".","98.4","1.6",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 204 of 426",""
