"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"","799
015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Public Affairs Seminar Series","802
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Gender Issues-Intl Educ Policy","805
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Stat Meths-Pub Pol Anal","819
001","","31","3.750","54.8","35.5","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Community Economic Analysis","820
001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Administrative Internship","827
001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Trade, Competition&Governance","856
001","","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Int'l Public Affairs","860
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Policy&Policy Design","864
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","31","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
003","","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","Course Total","","56","3.813","66.1","30.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
001","","26","3.731","53.8","42.3",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","878
002","","22","3.636","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","Course Total","","48","3.688","41.7","56.3",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Politics-Pov, Inequal&Soc Pol","883
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fed Budget&Tax Policy&Admin","890
001","","33","3.848","78.8","12.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
002","","6","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","974
003","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
004","","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","58","3.868","74.1","22.4","1.7",".",".",".",".","1.7",".",".",".",".",".",".",".","."
