"","300
003","","12","3.958","91.7","8.3",".",".","",".","",".",".",".",".","",".",".","",".","",".","",".",".","."
"","300
004","","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Humanities Topics in EAS","Course Total","","45","3.744","62.2","20.0","11.1","2.2","",".","",".",".","4.4","",".",".","",".","",".","",".",".",".","."
"Peoples Replc China 1949 on","342
002","","14","2.893","21.4","35.7","14.3","14.3","",".","",".","14.3",".",".","",".",".","",".","",".","",".",".","."
"E A STDS
298","Dept. Total","","96","3.399","37.5","31.3","19.8","5.2","",".","",".","3.1","2.1","",".",".","",".","",".","",".","1.0",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.400","33.3",".","50.0",".","",".","",".",".",".","",".",".","",".","",".","",".","16.7",".","."
"Sophomore","","","15","3.319","26.7","20.0","40.0","13.3","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","34","3.369","32.4","55.9","5.9",".","",".","",".","5.9",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","38","3.440","47.4","18.4","21.1","7.9","",".","",".","2.6","2.6","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","93","3.392","37.6","31.2","20.4","5.4","",".","",".","3.2","1.1","",".",".","",".","",".","",".","1.1",".","."
"Special","","","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","96","3.399","37.5","31.3","19.8","5.2","",".","",".","3.1","2.1","",".",".","",".","",".","",".","1.0",".","."
