"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"Religion & Sexuality","103","001","102","3.500","25.5","56.9","11.8","2.9","1.0","1.0",".","1.0",".",".",".",".",".",".",".","."
"Consuming Happiness","173","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Topics in Relig St (H)","200","001","7","3.429","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Western Christianity to 1750","212","001","9","3.500","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","9","2.333","11.1",".","33.3","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","308","001","19","3.711","78.9","5.3","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Shamanism","352","001","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","007","22","3.727","68.2","18.2","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","41","3.671","68.3","19.5","2.4","7.3",".",".","2.4",".",".",".",".",".",".",".",".","."
"African American Religions","404","001","13","3.115","30.8","38.5","15.4",".",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"Jewish Philos:Antiquity-17c","435","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Religious Studies","500","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Res & Colloq","601","001","10","3.600","50.0","40.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Yoga: Methods and Goals","623","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
