"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","93","2.511","15.1","4.3","29.0","5.4","34.4","6.5","5.4",".",".",".",".",".",".",".",".","."
"","101
002","141","2.465","14.2","4.3","27.0","9.2","28.4","14.2","2.8",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","234","2.483","14.5","4.3","27.8","7.7","30.8","11.1","3.8",".",".",".",".",".",".",".",".","."
"","102
001","9","3.278","22.2","22.2","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","12","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
003","12","3.250","25.0","16.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","004
102","12","3.542","75.0","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","102
005","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","8","3.313","50.0",".","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
007","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
102","12","3.000","16.7","33.3","33.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","009
102","12","3.250","25.0","25.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
010","11","3.182","36.4",".","45.5",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","011
102","15","2.800","13.3","13.3","33.3","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"","012
102","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","8","3.063","25.0","12.5","50.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","102
014","13","3.192","15.4","23.1","53.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
015","8","3.063","12.5","12.5","62.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
016","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","13","3.308","38.5","7.7","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
018","8","3.500","62.5",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
019","10","3.400","50.0","20.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","198","3.290","36.9","15.2","33.8","3.5","8.6","1.0","1.0",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","81","2.407","11.1","3.7","18.5","13.6","42.0","9.9","1.2",".",".",".",".",".",".",".",".","."
"","152
001","77","3.117","28.6","5.2","48.1","5.2","9.1","3.9",".",".",".",".",".",".",".",".",".","."
"","002
152","66","3.129","19.7","19.7","40.9","9.1","9.1","1.5",".",".",".",".",".",".",".",".",".","."
"","152
003","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
152","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
007","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","009
152","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
011","7","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","192","3.221","31.3","10.9","42.7","5.2","7.8","2.1",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","153
001","45","2.689","8.9","13.3","40.0","4.4","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","260
001","28","3.148","32.1","17.9","21.4","3.6","17.9","3.6",".","3.6",".",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 336 of 426",""
