"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","521","003","","40","3.090","35.0","5.0","25.0","12.5","17.5","2.5",".",".",".",".",".",".","2.5",".",".","."
"","521","004","","22","2.650","22.7","9.1","18.2","18.2","4.5","9.1","9.1",".",".",".",".",".","9.1",".",".","."
"Analysis I","","Course Total","","129","2.944","30.2","10.9","20.9","10.9","17.8","3.1","3.9",".",".",".",".",".","2.3",".",".","."
"Analysis II","522","001","","39","2.769","12.8","10.3","38.5","20.5","7.7","7.7","2.6",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","22","2.833","27.3","9.1","22.7","13.6","9.1","9.1","4.5",".",".",".",".",".","4.5",".",".","."
"Probability Theory","531","001","","37","2.806","27.0","16.2","16.2",".","27.0","5.4","5.4","2.7",".",".",".",".",".",".",".","."
"","541","001","","24","2.417","25.0","4.2","25.0","12.5","8.3","4.2","20.8",".",".",".",".",".",".",".",".","."
"","541","002","","30","2.750","16.7","10.0","23.3","26.7","13.3","10.0",".",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","54","2.602","20.4","7.4","24.1","20.4","11.1","7.4","9.3",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","28","3.071","32.1","25.0","10.7","10.7","10.7","10.7",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","36","3.100","41.7","13.9","13.9","5.6","8.3","13.9",".",".",".",".",".",".","2.8",".",".","."
"Differential Geometry","561","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math Mthds for Systems Biology","609","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of PDE","619","001","","27","3.537","63.0","11.1","18.5",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","27","3.519","44.4","18.5","29.6",".","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"","632","001","","52","3.306","44.2","15.4","19.2",".","9.6","3.8","1.9","3.8",".",".",".",".","1.9",".",".","."
"","632","002","","42","2.756","23.8","11.9","26.2","7.1","11.9","11.9","4.8","2.4",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","94","3.056","35.1","13.8","22.3","3.2","10.6","7.4","3.2","3.2",".",".",".",".","1.1",".",".","."
"Intro-Brownian Motn&Stoch Calc","635","001","","22","3.690","59.1","18.2","13.6","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Undergraduate Thesis","692","160","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","107","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","159","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","167","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Methods of Applied Math-2","704","001","","16","3.719","68.8","6.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","710","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","38","3.974","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","18","3.528","55.6","11.1","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Integer Optimization","728","001","","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability II","734","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","16","3.633","56.3","18.8","6.3","12.5",".",".",".",".",".",".",".",".","6.3",".",".","."
"Homological Algebra","750","001","","20","3.600","55.0","20.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Topology II","754","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","765","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","","Page 274 of 426",""
