"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Improvement","001","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"234
Dairy Herd Management II","001","","26","3.865","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"272
Pre-Capstone Seminar","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"311
Comparative Animal Nutritn","001","","16","2.267","6.3","6.3","6.3","31.3","25.0","18.8",".","6.3",".",".",".",".",".",".",".","."
"313
Animal Feeds&Diet Formulatn","001","","20","3.579","55.0","5.0","30.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"361
Intro to Animal & Vet Genetics","001","","16","2.281","6.3","6.3","6.3","12.5","62.5","6.3",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","15","3.000","26.7",".","53.3",".","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"373
Animal Physiology","001","","24","3.000","29.2","4.2","45.8","4.2","8.3","4.2","4.2",".",".",".",".",".",".",".",".","."
"375","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","32","3.679","87.5","3.1","6.3",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"472
Animal Ag & Sustainable Devel","001","","11","2.955","27.3","9.1","36.4",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"534
Reproductive Management","001","","16","3.781","75.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","2","***","","","","","","","","","","","","","","","",""
"900","001","","29","3.759","69.0","13.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","007","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","44","3.841","79.5","9.1","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
