"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","208","3.283","34.1","29.8","14.4","12.0","5.8","1.4","2.4",".",".",".",".",".",".",".",".","."
"Voice Training","140
001","15","3.367","53.3","20.0","13.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","150
001","14","3.714","78.6",".","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","15","3.633","66.7","20.0",".",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","150
003","17","3.765","94.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","150
004","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","150
006","15","3.767","80.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","150
007","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","108","3.827","85.2","6.5","1.9","1.9","2.8",".","0.9","0.9",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","28","2.852","25.0","21.4","21.4","7.1","7.1","3.6","10.7",".",".",".",".",".","3.6",".",".","."
"","161
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","162
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Theatre&Drama","219
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","8","3.250","75.0",".",".",".",".","25.0",".",".",".",".",".",".",".",".",".","."
"","250
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","9","3.500","77.8",".",".",".",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","17","3.750","88.2",".",".",".",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","270
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting Realism","350
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
001","18","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama for Teaching & Learning","Course Total","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sewing for the Theatre","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","9","3.726","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Theatres&Staging","431
001","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Business of Acting","501
001","13","3.625","69.2","7.7","7.7",".",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"Acting Shakespeare","541
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory III","561
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","619
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 108 of 426",""
