"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"SCAND ST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","16","3.771","62.5","25.0","12.5",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","44","3.788","79.5","15.9",".","2.3","",".","2.3","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","71","3.790","69.0","22.5","2.8","2.8","",".",".","",".",".","",".",".","",".","",".","2.8",".",".","."
"Undergraduates","","134","3.776","70.1","21.6","3.7","2.2","",".","0.7","",".",".","",".",".","",".","",".","1.5",".",".","."
"Special","","15","3.826","26.7","13.3",".",".","",".",".","",".","53.3","",".",".","",".","",".","6.7",".",".","."
"Graduate","","28","3.931","67.9","7.1","3.6",".","",".",".","",".","14.3","",".",".","",".","",".","7.1",".",".","."
"","Dept. Total","177","3.799","66.1","18.6","3.4","1.7","",".","0.6","",".","6.8","",".",".","",".","",".","2.8",".",".","."
