"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","112
001","51","2.580","17.6","9.8","23.5","13.7","19.6","3.9","9.8","2.0",".",".",".",".",".",".",".","."
"","112
002","50","2.680","22.0","16.0","16.0","12.0","22.0","2.0","10.0",".",".",".",".",".",".",".",".","."
"","003
112","57","2.563","17.5","14.0","19.3","15.8","14.0","7.0","10.5",".",".",".",".",".","1.8",".",".","."
"Algebra","Course Total","158","2.606","19.0","13.3","19.6","13.9","18.4","4.4","10.1","0.6",".",".",".",".","0.6",".",".","."
"","001
113","46","2.891","8.7","28.3","23.9","19.6","15.2","4.3",".",".",".",".",".",".",".",".",".","."
"","113
002","38","2.763","7.9","10.5","36.8","26.3","15.8",".","2.6",".",".",".",".",".",".",".",".","."
"","113
003","33","3.015",".","24.2","57.6","15.2","3.0",".",".",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","117","2.885","6.0","21.4","37.6","20.5","12.0","1.7","0.9",".",".",".",".",".",".",".",".","."
"Algebra and Trigonometry","114
001","87","2.988","34.5","14.9","13.8","8.0","18.4","3.4","4.6",".",".",".",".",".",".","1.1",".","1.1"
"","130
001","27","3.204","29.6","25.9","25.9",".","14.8","3.7",".",".",".",".",".",".",".",".",".","."
"","130
002","26","3.077","34.6","11.5","30.8","11.5","3.8",".","7.7",".",".",".",".",".",".",".",".","."
"Math for","Course Total","53","3.142","32.1","18.9","28.3","5.7","9.4","1.9","3.8",".",".",".",".",".",".",".",".","."
"Math for Tchng: Geom&Measrmnt","131
001","18","3.250","33.3","16.7","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","132
001","31","3.242","41.9","16.1","19.4","6.5","9.7","6.5",".",".",".",".",".",".",".",".",".","."
"","132
002","17","3.176","29.4","17.6","29.4","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"Prob Solvng: Alg, Prob & Stats","Course Total","48","3.219","37.5","16.7","22.9","6.3","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Algebraic Reasong-Teachng Math","135
001","9","3.389","44.4","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","141
001","52","2.692","15.4","15.4","25.0","11.5","21.2","7.7","3.8",".",".",".",".",".",".",".",".","."
"","211
001","284","2.879","27.8","9.9","31.0","3.2","18.3","4.6","5.3",".",".",".",".",".",".",".",".","."
"","211
002","247","2.643","17.8","5.7","32.0","6.9","23.1","11.7","2.0",".",".",".",".",".","0.8",".",".","."
"Calculus","Course Total","531","2.769","23.2","7.9","31.5","4.9","20.5","7.9","3.8",".",".",".",".",".","0.4",".",".","."
"Calc/Intro-Differntl Equats","213
001","135","2.989","20.7","13.3","35.6","11.1","14.1","4.4",".",".",".",".",".",".","0.7",".",".","."
"","217
001","124","2.891","33.9","7.3","21.8","1.6","25.0","8.9","1.6",".",".",".",".",".",".",".",".","."
"","002
217","149","2.980","36.9","3.4","28.2","6.0","16.1","6.7","2.7",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig II","Course Total","273","2.940","35.5","5.1","25.3","4.0","20.1","7.7","2.2",".",".",".",".",".",".",".",".","."
"","001
221","195","2.650","16.9","10.3","29.2","6.7","22.6","9.2","4.1",".",".",".",".",".","0.5",".","0.5","."
"","221
002","222","2.655","21.6","5.4","28.4","5.4","25.2","8.6","4.5","0.5",".",".",".",".",".",".",".","0.5"
"Calculus&Analytic Geometry 1","Course Total","417","2.653","19.4","7.7","28.8","6.0","24.0","8.9","4.3","0.2",".",".",".",".","0.2",".","0.2","0.2"
"","222
001","245","2.721","15.9","18.0","25.3","12.2","14.3","9.4","4.5",".",".",".",".",".","0.4",".",".","."
"","222
002","259","3.025","28.2","20.8","18.1","11.2","14.7","3.9","2.7",".",".",".",".",".","0.4",".",".","."
