"L&S","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","6401","2.963","29.9","13.6","23.5","10.0","13.9","5.2","2.7","0.5","",".",".","",".","0.1","0.3","0.1","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","932","2.767","22.5","11.4","26.1","10.1","17.7","8.3","3.6","0.1","",".",".","",".",".","0.1",".",".","0.1"
"Sophomore","","2470","2.932","25.9","14.8","25.1","11.0","15.0","5.2","2.6","0.0","",".",".","",".",".","0.3","0.0",".","0.0"
"Junior","","1359","2.971","27.4","15.4","24.1","11.8","14.4","4.6","2.2",".","",".",".","",".",".","0.1",".",".","."
"Senior","","1035","2.926","28.5","12.8","25.0","9.2","13.9","5.9","3.4","0.3","",".",".","",".",".","0.9","0.2",".","."
"Undergraduates","","5796","2.909","26.2","14.0","25.0","10.7","15.1","5.7","2.8","0.1","",".",".","",".",".","0.3","0.1",".","0.0"
"Special","","201","3.453","60.7","11.9","9.5","5.0","3.5","1.5","4.0","2.0","",".",".","",".",".",".",".","1.0","1.0"
"Graduate","","404","3.750","69.1","8.7","9.4","2.5","1.5",".","0.5","5.7","",".",".","",".","1.5","0.7","0.5",".","."
"","Dept. Total","6401","2.963","29.9","13.6","23.5","10.0","13.9","5.2","2.7","0.5","",".",".","",".","0.1","0.3","0.1","0.0","0.1"
