"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","",""
"Ecology of Fishes Lab","Course Total","14","3.571","35.7","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resources Policy","515
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Bioclimatology","520
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","533
001","11","3.150","27.3","36.4","9.1","9.1",".",".","9.1",".",".",".",".",".","9.1",".",".","."
"","533
002","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Lit and Environment","Course Total","19","3.361","26.3","52.6","5.3","5.3",".",".","5.3",".",".",".",".",".","5.3",".",".","."
"Remote Sensing Digitl Image","556
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Impact of Global Envr Chg","560
001","9","3.438","22.2","55.6",".",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"Assessment-Environ Impact","575
001","19","3.263","15.8","36.8","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","600
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","13","3.846","84.6","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","600
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
004","14","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Major Capstone","Course Total","57","3.789","75.4","8.8","14.0","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Res Mgt Pract Pl Smr II","718
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","8","3.438","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology & Marine Sci Seminar","911
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CHE Methods Seminar","922
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","978
001","25","3.460","48.0","28.0","8.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","978
002","25","3.840","68.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","978
003","26","3.500","38.5","34.6","11.5","7.7","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"","978
004","25","3.900","88.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","978
005","25","3.700","56.0","32.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","978
006","25","3.540","16.0","76.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Cons Tools Modules","Course Total","151","3.657","52.3","35.1","6.0","4.0","1.3","0.7",".","0.7",".",".",".",".",".",".",".","."
"Env Cons Professional Practice","979
001","25","3.800","76.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 162 of 426",""
