"COMPARATIVE LITERATURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","",""
"Intro to Mod & Contemp Lit","202
001","50","3.610","40.0","44.0","14.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","102","3.618","54.9","25.5","14.7","2.0","2.0",".","1.0",".",".",".",".",".",".",".",".","."
"","203
002","111","3.459","36.9","36.9","18.0","4.5","0.9","1.8","0.9",".",".",".",".",".",".",".",".","."
"","203
004","56","3.554","53.6","25.0","12.5","3.6","1.8","3.6",".",".",".",".",".",".",".",".",".","."
"Intro Cross-Cultrl Lit Form","Course Total","269","3.539","47.2","30.1","15.6","3.3","1.5","1.5","0.7",".",".",".",".",".",".",".",".","."
"","350
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","8","3.500","50.0",".","25.0","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"Problms in Comp Lit & Cultures","Course Total","16","3.567","43.8","25.0","18.8","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Prob in Transnatl Genre & Mode","358
001","22","3.818","77.3","9.1","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Prob in Periods & Movemnt","370
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Poetics and Literary Theory","Course Total","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compar In & Beyond Compar Lit","500
001","20","3.237","15.0","25.0","45.0","10.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"Comp Prob in Periods & Movemnt","770
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Literary Criticism","771
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Prob in Trans Genre & Mode","958
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Poetics & Literary Thry","975
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in Poetics-Polyseminar","976
001","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
003","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".","16.7",".","."
"","990
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","16","",".",".",".",".",".",".",".","68.8",".",".",".","25.0",".","6.3",".","."
