"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","96","4.000","5.2",".",".",".",".",".",".","88.5",".",".",".",".","6.3",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","38","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","80","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","96","3.432","33.3","26.0","36.5","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","80","3.281","23.8","20.0","47.5","6.3","2.5",".",".",".",".",".",".",".",".",".",".","."
"Swine Medicine","635
001","80","3.569","41.3","33.8","22.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","21","4.000","61.9",".",".",".",".",".",".","38.1",".",".",".",".",".",".",".","."
"","668
001","19","4.000","52.6",".",".",".",".",".",".","47.4",".",".",".",".",".",".",".","."
"","668
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Dermatology Rotation","Course Total","20","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","23","4.000","17.4",".",".",".",".",".",".","82.6",".",".",".",".",".",".",".","."
"","670
001","37","4.000","35.1",".",".",".",".",".",".","64.9",".",".",".",".",".",".",".","."
"","670
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","41","4.000","36.6",".",".",".",".",".",".","63.4",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","50","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","675
001","34","4.000","88.2",".",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","675
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
006","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
007","22","4.000","18.2",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","."
"","675
008","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
009","96","",".",".",".",".",".",".",".","91.7",".",".",".",".","7.3",".","1.0","."
"","675
010","30","4.000","43.3",".",".",".",".",".",".","56.7",".",".",".",".",".",".",".","."
"","675
011","38","4.000","2.6",".",".",".",".",".",".","97.4",".",".",".",".",".",".",".","."
"","675
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
015","87","",".",".",".",".",".",".",".","50.6",".",".",".",".","47.1",".","2.3","."
"","675
021","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","80","4.000","2.5",".",".",".",".",".",".","97.5",".",".",".",".",".",".",".","."
"Special Topics","Course Total","514","4.000","11.5",".",".",".",".",".",".","78.6",".",".",".",".","9.3",".","0.6","."
"","678
001","45","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","678
002","10","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","55","4.000","47.3",".",".",".",".",".",".","52.7",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","13","4.000","76.9",".",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","10","4.000","60.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".","10.0","."
"","699
027","22","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"","699
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 417 of 426",""
