"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","43","3.349","25.6","32.6","32.6","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"","300
002","36","3.278","22.2","27.8","36.1","11.1","2.8",".",".",".",".",".",".",".",".",".",".","."
"","300
003","42","3.202","19.0","33.3","23.8","16.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"","300
004","40","3.138","17.5","25.0","40.0","7.5","7.5","2.5",".",".",".",".",".",".",".",".",".","."
"","300
005","42","3.262","23.8","23.8","35.7","14.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","300
006","41","3.329","12.2","53.7","22.0","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"","007
300","39","3.184","12.8","35.9","33.3","10.3","2.6","2.6",".",".",".",".",".",".","2.6",".",".","."
"","300
008","40","3.338","17.5","42.5","32.5","5.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"","300
009","43","3.233","20.9","34.9","18.6","20.9","4.7",".",".",".",".",".",".",".",".",".",".","."
"","300
010","42","3.393","26.2","40.5","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","011
300","41","3.171","14.6","39.0","29.3","9.8","4.9",".","2.4",".",".",".",".",".",".",".",".","."
"","300
012","41","3.366","29.3","26.8","31.7","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","490","3.271","20.2","34.7","29.4","11.6","3.3","0.4","0.2",".",".",".",".",".","0.2",".",".","."
"","305
001","75","3.907","81.3","18.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","73","3.774","68.5","23.3","4.1","2.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","148","3.841","75.0","20.9","2.0","1.4","0.7",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310
001","23","3.609","43.5","34.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Entrepreneurship","321
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","177","3.023","17.5","15.8","39.0","13.6","10.7","2.8",".","0.6",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","25","3.708","60.0","16.0","20.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","399
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
113","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","2","***","","","","","","","","","","","","","","","",""
"The Management of Teams","401
001","21","3.405","23.8","42.9","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","412
001","38","3.974","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","45","3.867","84.4","4.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","33","3.530","30.3","48.5","18.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
423","24","3.625","29.2","66.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","57","3.570","29.8","56.1","12.3","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","19","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","45","3.633","48.9","37.8","11.1",".",".","2.2",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","11","2.955","18.2","18.2","36.4","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","612
001","35","3.857","80.0","11.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","Course Total","49","3.837","75.5","16.3","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
628","31","3.790","71.0","16.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","60","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","34","3.574","29.4","55.9","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","715
001","47","3.660","40.4","51.1","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
