"L&S","","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","",""
"Lt Tran:Dante-Divine Comedy","253","001","","15","2.933","40.0","13.3","6.7","13.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"Ancient & Medieval Science","322","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Vikings","430","001","","10","3.550","60.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Mediaeval Latin","563","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Middle High German","651","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Old Germanic Languages","755","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MEDIEVAL
633","","Dept. Total","","32","3.349","53.1","15.6","9.4","6.3","9.4","3.1","3.1",".",".",".",".",".",".",".",".","."
