"Developmental Neuroscience","765
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
055","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
057","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY
144","Dept. Total","","28","3.456","25.0","50.0","10.7","",".","7.1","",".","",".","7.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","6","3.321","33.3","16.7",".","",".","16.7","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","20","3.550","25.0","60.0","15.0","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","21","3.548","23.8","61.9","14.3","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","28","3.456","25.0","50.0","10.7","",".","7.1","",".","",".","7.1","",".",".","",".","",".","",".",".",".","."
