"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","55","2.900","21.8","23.6","18.2","18.2","9.1","1.8","7.3",".",".",".",".",".",".",".",".","."
"Intro-Comparatv Ethnic Studies","102
001","77","3.822","81.8","6.5","6.5",".","3.9",".",".",".",".",".",".",".",".",".","1.3","."
"Lit & Culture of Asian America","150
001","25","3.520","52.0","28.0","12.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","162","3.584","57.4","22.8","10.5","3.1","3.1","1.2","1.2",".",".",".",".",".",".",".",".","0.6"
"Ethnic Movements in U.S.","220
001","30","3.383","36.7","33.3","13.3","10.0","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","240
001","29","3.793","62.1","34.5","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","36","3.764","66.7","30.6",".",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","540
001","18","3.583","50.0","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","435","3.556","56.1","22.5","9.7","4.8","3.2","1.1","1.6",".",".",".",".",".","0.5",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","73","3.541","50.7","30.1","9.6","2.7","4.1","1.4","1.4",".",".",".",".",".",".",".",".","."
"Sophomore","","168","3.573","60.7","18.5","9.5","4.8","3.0","0.6","2.4",".",".",".",".",".",".",".",".","0.6"
"Junior","","102","3.506","50.0","27.5","9.8","5.9","4.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"Senior","","88","3.590","59.1","18.2","10.2","5.7","1.1","2.3","1.1",".",".",".",".",".","2.3",".",".","."
"Undergraduates","","431","3.554","56.1","22.5","9.7","4.9","3.2","1.2","1.6",".",".",".",".",".","0.5",".",".","0.2"
"Special","","3","***","","","","","","","","","",".",".",".",".",".","33.3","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","435","3.556","56.1","22.5","9.7","4.8","3.2","1.1","1.6",".",".",".",".",".","0.5",".","0.2","0.2"
