"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","8","3.341","25.0","50.0","12.5",".","12.5","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","9","3.950","77.8","11.1",".",".",".","",".","",".",".","",".",".","",".","",".","11.1",".",".","."
"Undergraduates","21","3.578","47.6","28.6","14.3",".","4.8","",".","",".",".","",".",".","",".","",".","4.8",".",".","."
"Special","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","43","3.952","81.4",".",".","2.3",".","",".","",".","14.0","",".",".","",".","",".",".",".","2.3","."
"Prof Yr 1","144","3.601","41.7","40.3","14.6","3.5",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","149","3.360","31.5","26.2","26.8","13.4","2.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","179","3.694","50.8","38.5","10.1","0.6",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","475","3.567","42.1","35.2","16.6","5.5","0.6","",".","",".",".","",".",".","",".","",".",".",".",".","."
