"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED SCIENCE","Section","#","","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"","140
001","","10","3.550","70.0","10.0","10.0",".","",".","10.0","",".",".",".","",".",".","",".","",".",".",".","."
"","140
002","","6","3.417","50.0","16.7","16.7",".","","16.7",".","",".",".",".","",".",".","",".","",".",".",".","."
"Exploring Service","Course Total","","16","3.500","62.5","12.5","12.5","",".","6.3","6.3","",".",".","",".",".","",".","",".",".",".",".","."
"Exploring Research in Science","150
001","","14","4.000","100.0",".",".",".","",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"Explrn Leadership Mentoring","230
001","","23","4.000","95.7",".",".",".","",".",".","",".",".",".","",".",".","",".","","4.3",".",".","."
"","299
001","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","299
003","","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","",""
"","320
002","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","320
003","","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Internship","Course Total","","7","4.000","100.0",".",".","",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","375
001","","8","3.875","87.5",".","12.5",".","",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"","375
003","","11","4.000","100.0",".",".",".","",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"Special Topics","Course Total","","19","3.926","94.7",".","5.3","",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"College Science Teaching","650
001","","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Special Topics","675
001","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"INTEGSCI
503","Dept. Total","","92","3.920","84.8","3.3","3.3","",".","1.1","1.1","",".","5.4","",".",".","",".","",".","1.1",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","18","3.857","88.9",".","5.6","",".","5.6",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","27","3.844","81.5","7.4","3.7","",".",".","3.7","",".",".","",".",".","",".","",".","3.7",".",".","."
"Junior","","","12","3.900","91.7",".","8.3","",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","26","3.990","96.2","3.8",".","",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","83","3.914","89.2","3.6","3.6","",".","1.2","1.2","",".",".","",".",".","",".","",".","1.2",".",".","."
"Graduate","","","9","4.000","44.4",".",".","",".",".",".","",".","55.6","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","92","3.920","84.8","3.3","3.3","",".","1.1","1.1","",".","5.4","",".",".","",".","",".","1.1",".",".","."
