"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Parasitology","001","","19","3.105","26.3","10.5","36.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","96","3.347","33.3","11.5","46.9","5.2","2.1",".",".",".",".",".",".",".","1.0",".",".","."
"515
Reg Vet Med & Public Health","001","","80","3.831","72.5","21.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"526
Active, Integrated Learning II","001","","87","4.000","85.1",".",".",".",".",".",".","14.9",".",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","87","3.345","31.0","24.1","34.5","5.7","3.4","1.1",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","87","3.529","42.5","31.0","18.4","5.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","39","4.000","92.3",".",".",".",".",".",".","5.1",".",".",".",".",".",".","2.6","."
"675","001","","183","",".",".",".",".",".",".",".","61.7",".",".",".",".","19.7",".","18.6","."
"675","002","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","212","",".",".",".",".",".",".",".","67.0",".",".",".",".","17.0",".","16.0","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Vertebrate Viral Disease","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","001","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","19","",".",".",".",".",".",".",".","94.7",".",".",".",".",".",".","5.3","."
"775","003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","56","",".",".",".",".",".",".",".","98.2",".",".",".",".",".",".","1.8","."
"799
Pract-Veterinary Sci Tchg","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930
Advanced Seminar","011","","23","3.611","17.4","13.0","8.7",".",".",".",".","56.5",".",".",".",".","4.3",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 419 of 426",""
