"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","124","3.959","93.5","3.2","2.4",".",".",".",".","0.8",".",".",".",".",".",".",".","."
"","301
002","121","3.826","84.3","7.4","2.5","4.1",".","1.7",".",".",".",".",".",".",".",".",".","."
"How People Learn","Course Total","245","3.893","89.0","5.3","2.4","2.0",".","0.8",".","0.4",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","320
001","115","3.715","63.5","21.7","8.7","3.5","1.7",".",".","0.9",".",".",".",".",".",".",".","."
"","321
001","104","3.379","27.9","34.6","25.0","9.6","1.0","1.0",".",".",".",".",".",".","1.0",".",".","."
"","321
002","91","3.588","46.2","41.8","5.5","3.3",".","3.3",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","Course Total","195","3.477","36.4","37.9","15.9","6.7","0.5","2.1",".",".",".",".",".",".","0.5",".",".","."
"Mind, Brain and Education","001
326","98","3.531","41.8","41.8","8.2","2.0","2.0","2.0","1.0","1.0",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","85","3.753","75.3","12.9","5.9","3.5",".","2.4",".",".",".",".",".",".",".",".",".","."
"","470
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
013","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
025","19","3.988","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
029","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
047","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","63","3.971","95.2","3.2","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","002
506","26","3.519","42.3","30.8","19.2","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Development","721
001","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Ethnic/Racial Social Dev","726
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psych of Individual Difference","736
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design of Single-Case Research","743
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","43","3.977","95.3","4.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","62","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MSPE Capstone","791
001","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 95 of 426"
