"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","11","3.750","72.7","9.1",".",".","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"299
Independent Study","008","","11","3.947","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","52","3.260","21.2","34.6","34.6","1.9","5.8",".","1.9",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","45","3.733","55.6","35.6","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","134","3.530","39.6","35.1","17.9","6.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","57","3.061","19.3","26.3","35.1","7.0","5.3","3.5","3.5",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","56","3.679","57.1","32.1","5.4","3.6",".","1.8",".",".",".",".",".",".",".",".",".","."
"401","002","","15","3.571","53.3","6.7","26.7","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"401","004","","22","3.614","31.8","59.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","37","3.597","40.5","37.8","16.2","2.7",".",".",".",".",".",".",".",".","2.7",".",".","."
"421
Polymeric Materials","001","","73","3.075","9.6","37.0","27.4","16.4","6.8","2.7",".",".",".",".",".",".",".",".",".","."
"462
Welding Metallurgy","001","","22","3.432","22.7","40.9","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Capstone Project II","001","","50","3.790","64.0","30.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Structure of Materials","001","","19","3.579","42.1","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"553
Nanomaterials & Nanotechnology","001","","51","3.690","54.9","25.5","17.6",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"570
Properties-Solid Surfaces","001","","24","3.696","45.8","41.7","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.900","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"748
Structural Analysis-Materials","001","","20","3.333","10.0","40.0","40.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","13","",".",".",".",".",".",".",".","69.2",".",".",".",".","30.8",".",".","."
"760
Mol Dynamics&Monte Carlo Sims","001","","19","3.912","73.7","15.8",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"790","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","28","",".",".",".",".",".",".",".","78.6",".",".",".","21.4",".",".",".","."
"803","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 145 of 426",""
