"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","260","002","74","3.291","32.4","35.1","14.9","9.5","2.7","2.7","2.7",".",".",".",".",".",".",".",".","."
"Communication & Human Behav","","Course Total","221","3.394","36.2","36.2","14.0","7.2","3.2","1.4","1.8",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262","001","155","3.523","40.6","36.8","12.3","4.5","3.9","0.6",".","0.6",".",".",".",".","0.6",".",".","."
"Intro-Interpersonal Com","272","001","116","3.057","12.1","28.4","34.5","17.2","2.6","3.4","0.9",".",".",".",".",".","0.9",".",".","."
"Film Comedy","300","001","97","3.122","14.4","38.1","24.7","10.3","5.2","1.0","3.1","3.1",".",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","310","001","60","3.254","23.3","31.7","26.7","11.7","1.7","3.3",".",".",".",".",".",".","1.7",".",".","."
"Topics: Film and Media Studies","313","001","36","3.353","30.6","25.0","25.0","8.3","5.6",".",".",".",".",".",".",".","2.8",".","2.8","."
"Rhetoric and Health","317","001","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Media & Human Behavior","325","001","96","3.106","15.6","28.1","36.5","9.4","4.2","2.1","2.1","1.0",".",".",".",".",".","1.0",".","."
"Critical Internet Studies","346","001","98","3.108","8.2","34.7","35.7","15.3","3.1","2.0",".",".",".",".",".",".","1.0",".",".","."
"Introduction to Film","350","001","168","3.042","16.7","29.2","20.2","10.7","10.1","4.2","1.2","7.7",".",".",".",".",".",".",".","."
"Television Industries","351","001","117","3.075","10.3","29.1","34.2","16.2","5.1","0.9","0.9",".",".",".",".",".","3.4",".",".","."
"Intro to Media Production","355","001","117","3.302","17.9","44.4","27.4","5.1","2.6",".","1.7",".",".",".",".",".","0.9",".",".","."
"History of Animated Film","357","001","60","2.992","16.7","26.7","25.0","18.3","8.3","1.7","3.3",".",".",".",".",".",".",".",".","."
"Sports Media","359","001","81","2.944","2.5","32.1","45.7","8.6","6.2","1.2","3.7",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","79","3.201","38.0","12.7","20.3","11.4","11.4","3.8",".",".",".",".",".",".","2.5",".",".","."
"Thry&Practice of Persuasion","368","001","97","3.046","24.7","24.7","20.6","13.4","11.3","1.0","4.1",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","96","3.500","37.5","38.5","15.6","1.0","4.2",".","1.0",".",".",".",".",".",".","2.1",".","."
"","371","001","20","3.500","35.0","40.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","371","002","20","3.316","20.0","25.0","45.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","371","003","20","3.475","35.0","30.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","371","004","20","3.158","5.0","40.0","30.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","","Course Total","80","3.365","23.8","33.8","30.0","10.0",".",".",".","1.3",".",".",".",".","1.3",".",".","."
"Ethics of Entertainment Media","375","001","25","3.300","16.0","56.0","20.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Sound Cultures/Podcasting","449","001","46","3.315",".","63.0","37.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","15","3.708","53.3","20.0",".",".","6.7",".",".","13.3",".",".",".",".","6.7",".",".","."
"Global Media Cultures","458","001","38","3.132","15.8","55.3","15.8","2.6",".","2.6","7.9",".",".",".",".",".",".",".",".","."
"Italian Film","460","001","25","3.870","68.0","24.0",".",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"Global Art Cinema","461","001","27","3.696","55.6","11.1","14.8","3.7",".",".",".",".",".",".",".",".","7.4","7.4",".","."
"Avant-Garde Film","463","001","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","14","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","16","3.406","12.5","56.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","30","3.417","13.3","56.7","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","14","3.679","35.7","64.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","15","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Producing Internet TV & Video","468","001","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","49","3.439","38.8","34.7","16.3","4.1","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"Rhetoric & Power on Internet","478","001","58","3.866","82.8","8.6","1.7",".","3.4",".",".","1.7",".",".",".",".","1.7",".",".","."
"Digital Media & Political Comm","509","001","37","3.297","27.0","29.7","29.7","8.1","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","40","3.346","40.0","15.0","17.5","22.5","2.5",".",".",".",".",".",".",".","2.5",".",".","."
"Digital Studies Capstone","605","001","66","",".",".",".",".",".",".",".",".",".","98.5",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 196 of 426",""
