"ED LEADERSHP & POLICY ANAL Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","",""
"","502
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
004","35","3.881","82.9","2.9",".","5.7",".",".",".","2.9",".",".",".",".","5.7",".",".","."
"","502
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
009","20","3.966","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
011","18","3.794","66.7","16.7","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","81","3.888","82.7","4.9","3.7","2.5",".",".",".","1.2",".",".",".",".","3.7",".","1.2","."
"Legal Rights & Resp for Tchrs","640
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Ldrship","Course Total","5","***","","","","","","","","","","","","","","","",""
"Intro-Higher & Post-Sec Ed","701
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"School-Community Engagement","770
001","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"HPE Capstone Seminar","777
001","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surveys/Quant Data Collection","827
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public School Law","840
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School-Level Leadership","845
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","847
001","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","847
002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadership&Tchr Capacity","Course Total","31","3.855","71.0","29.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881
001","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Identity & Development","883
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment in Higher Education","888
001","22","3.795","90.9","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Internship in Ed Admin","900
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","940
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","940
004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
005","10","3.722","60.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","10.0","."
"","940
006","6","3.800","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","940
007","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
011","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","101","3.952","90.1","4.0","1.0","1.0",".",".",".","1.0",".",".",".",".","2.0",".","1.0","."
"","990
003","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"","990
032","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 90 of 426"
