"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"H ONCOL","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","5","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","15","3.976","93.3","6.7",".","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","22","3.984","95.5","4.5",".","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","4","***","","","","","","","","","","","","","","",".",".",".",".",".","25.0","."
"Prof Yr 3","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","4","***","","","","","","","","","","","","","","",".",".","50.0",".",".",".","."
"Professionals","5","***","","","","","","","","","","","","","","",".",".","40.0",".",".",".","."
"","Dept. Total
32","3.963","81.3","3.1","3.1","",".","",".","",".","",".","3.1","",".",".",".","6.3",".",".","3.1","."
