"Neuroscience Core Clerkship","Course Total","","45","3.422","26.7","33.3","37.8","2.2","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","919
002","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
011","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROL
676","Dept. Total","","98","3.618","58.2","17.3","19.4","1.0","",".","",".","",".","",".","",".",".","",".","",".","1.0",".","3.1","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","","8","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","32","3.945","84.4","3.1","3.1",".","",".","",".","",".","",".","",".",".","",".","",".","3.1",".","6.3","."
"Undergraduates","","","47","3.944","87.2","2.1","4.3",".","",".","",".","",".","",".","",".",".","",".","",".","2.1",".","4.3","."
"Special","","","2","***","","","","","","","","","","","","","","",".","",".","",".",".",".","50.0","."
"Graduate","","","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","","","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","","41","3.439","26.8","36.6","34.1","2.4","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","","6","3.400","50.0",".","50.0",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","","48","3.441","31.3","31.3","35.4","2.1","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","98","3.618","58.2","17.3","19.4","1.0","",".","",".","",".","",".","",".",".","",".","",".","1.0",".","3.1","."
