"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science","126
001","10","3.400","40.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ways of Knowing in Sciences","153
001","54","3.009","16.7","14.8","48.1","9.3","5.6","3.7","1.9",".",".",".",".",".",".",".",".","."
"","157
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
002","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
005","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
007","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
009","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","69","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","107","3.734","57.9","33.6","6.5","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","001
202","77","3.526","39.0","41.6","14.3","1.3","1.3","2.6",".",".",".",".",".",".",".",".",".","."
"West Cult: Lit&The Arts II","204
001","63","3.794","73.0","14.3","12.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"W Cul:Pol,Econ&Soc Thght II","206
001","60","3.411","30.0","35.0","18.3","5.0","3.3","1.7",".",".",".",".",".",".",".",".","6.7","."
"Genres-Westrn Relig Writing","234
001","8","2.625",".","25.0","37.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".","."
"Contemporary Phy Sciences","251
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peer Mentor Seminar","357
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies-Soc Sciences","372
001","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","400
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Integrated LiberalStudies","490
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ILS
500","Dept. Total","491","3.526","42.0","22.4","15.3","2.6","1.4","1.0","0.4",".",".","14.1",".",".",".",".","0.8","."
