"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","15","3.667","46.7","46.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
101","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","","12","3.542","50.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","","55","3.673","54.5","29.1","12.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","","20","3.400","45.0","15.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","19","3.184","26.3","26.3","15.8","21.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","12","3.727","58.3","25.0",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","102
008","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","","71","3.471","46.5","19.7","16.9","11.3","4.2",".",".","1.4",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","201
001","","14","3.500","35.7","42.9","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","13","3.375","46.2","23.1","15.4",".",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"","203
002","","10","3.250","30.0","20.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","","23","3.318","39.1","21.7","17.4","13.0",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
001","","17","3.969","88.2","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Writing Workshop","312
001","","16","3.500","43.8","25.0","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Italian Lit","450
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460
001","","21","3.833","81.0","14.3",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","632
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","952
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
