"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","111
001","43","3.907","83.7","14.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","44","3.898","86.4","6.8","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
003","44","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
004","25","3.860","80.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills Undergrads","Course Total","156","3.917","87.2","9.6","2.6","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","116","3.464","47.4","25.0","9.5","6.9","3.4","1.7","1.7","0.9",".",".",".",".",".",".","3.4","."
"","201
001","50","3.620","54.0","22.0","20.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","201
002","54","3.898","85.2","9.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Research & Analysis","Course Total","104","3.764","70.2","15.4","12.5","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250
001","115","3.800","81.7","7.8","6.1","0.9","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","91","3.857","83.5","9.9","4.4","1.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"Cons Fin Svcs Innovation","255
001","47","3.074","12.8","34.0","21.3","19.1","12.8",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Retailing","257
001","122","3.684","68.0","18.0","6.6","4.1","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"","275
001","83","3.055","8.4","38.6","27.7","15.7","3.6","3.6","1.2",".",".",".",".",".","1.2",".",".","."
"","275
002","97","3.577","44.3","35.1","14.4","4.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","180","3.338","27.8","36.7","20.6","9.4","2.8","1.7","0.6",".",".",".",".",".","0.6",".",".","."
"Advanced Consumer Analytics","301
001","45","3.400","35.6","33.3","8.9","20.0","2.2",".",".",".",".",".",".",".",".",".",".","."
"","321
001","40","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
321","43","3.965","95.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","38","3.855","81.6","13.2","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","321
004","43","3.953","90.7","9.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
321","41","3.622","65.9","19.5","7.3","2.4",".","2.4","2.4",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","Course Total","205","3.876","85.9","9.8","2.4","0.5","0.5","0.5","0.5",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","41","3.750","78.0","9.8","4.9",".","2.4",".","2.4",".",".",".",".",".",".",".",".","2.4"
"Family Economics","475
001","37","3.333","37.8","29.7","10.8","13.5",".","2.7","2.7","2.7",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","43","3.198","37.2","14.0","20.9","16.3","9.3",".","2.3",".",".",".",".",".",".",".",".","."
"Cons Strategy & Evl","555
001","76","3.427","18.4","53.9","19.7","6.6",".",".",".","1.3",".",".",".",".",".",".",".","."
"Retail Channel Strategy","561
001","48","3.809","60.4","37.5",".",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","55","3.245","32.7","21.8","21.8","9.1","14.5",".",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","567
001","47","3.702","66.0","17.0","12.8",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","21","3.667","66.7","19.0",".","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635
001","46","3.478","39.1","32.6","19.6","6.5",".","2.2",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","72","3.042","25.0","19.4","26.4","11.1","12.5","4.2","1.4",".",".",".",".",".",".",".",".","."
"","675
001","38","3.461","26.3","44.7","23.7","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","35","3.471","28.6","45.7","17.1","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","Course Total","73","3.466","27.4","45.2","20.5","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"","990
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 155 of 426",""
