"TERM : 1184","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2017-2018","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOSTATISTICS & MED INFORMA Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","",""
"B M I
Dept. Total
210","114","3.901","68.4","16.7","1.8","",".","",".","",".","",".","6.1","",".",".","",".","",".","0.9",".","6.1","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","13","3.813","61.5","15.4","7.7","",".","",".","",".","",".",".","",".",".","",".","",".","7.7",".","7.7","."
"Undergraduates","13","3.813","61.5","15.4","7.7","",".","",".","",".","",".",".","",".",".","",".","",".","7.7",".","7.7","."
"Special","17","3.922","76.5","17.6",".","",".","",".","",".","",".","5.9","",".",".","",".","",".",".",".",".","."
"Graduate","77","3.901","64.9","18.2","1.3","",".","",".","",".","",".","7.8","",".",".","",".","",".",".",".","7.8","."
"Prof Yr 1","2","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","3","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","7","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","114","3.901","68.4","16.7","1.8","",".","",".","",".","",".","6.1","",".",".","",".","",".","0.9",".","6.1","."
