"","990
046","","4","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
058","","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
059","","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","","10","",".",".",".",".",".",".","",".","70.0","",".",".","",".","30.0","",".",".",".","."
"LCA
521","Dept. Total","","78","3.667","56.4","17.9","5.1","2.6","1.3","2.6","",".","10.3","",".",".","",".","3.8","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","8","3.750","62.5","25.0","12.5",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","","16","3.533","62.5","18.8","6.3","6.3",".","6.3","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","32","3.613","53.1","28.1","6.3","3.1","3.1","3.1","",".","3.1","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","56","3.610","57.1","25.0","7.1","3.6","1.8","3.6","",".","1.8","",".",".","",".",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","","21","4.000","52.4",".",".",".",".",".","",".","33.3","",".",".","",".","14.3","",".",".",".","."
"","Dept. Total","","78","3.667","56.4","17.9","5.1","2.6","1.3","2.6","",".","10.3","",".",".","",".","3.8","",".",".",".","."
