"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Stage Lighting I","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Set Design I","372","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","376","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376","002","","9","3.333","44.4","22.2","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Photography","","Course Total","","19","3.526","42.1","42.1","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Internships in Art","393","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Imaging Studio","428","001","","17","3.938","82.4","11.8",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Design Context","438","001","","33","3.333","27.3","15.2","54.5","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","441","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","002","","12","2.500","33.3","25.0",".",".",".","8.3","25.0",".",".",".",".",".","8.3",".",".","."
"","448","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","005","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","010","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","82","3.719","89.0","3.7","1.2",".",".","1.2","3.7",".",".",".",".",".","1.2",".",".","."
"Intmed Paint: New Figuration I","452","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454","001","","12","3.667","58.3","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Information Graphics","463","001","","12","3.208","16.7","25.0","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design for Posters","467","001","","14","3.250","14.3","42.9","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in 4D Art","470","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Photography","476","001","","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508","001","","89","3.779","60.7","7.9","2.2","1.1","4.5",".",".","14.6",".",".",".",".","6.7",".","2.2","."
"Art Performance","511","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Advanced Drawing I","512","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture Workshop 1","514","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environments","521","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","522","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"3D Digital Studio II","529","001","","16","3.469","68.8","12.5",".","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Advanced Wood Working","534","001","","10","3.450","60.0",".","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","548","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","548","002","","21","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Advanced Level","","Course Total","","23","3.864","87.0",".","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","","10","3.400","20.0","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","560","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Typeface Design","565","001","","8","3.667","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
