"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","37","3.432","54.1","18.9","10.8","2.7","8.1","5.4",".",".",".",".",".",".",".",".",".","."
"306","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"306","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","","7","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"373
Intro to Survey Research","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Urban & Regional Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"463
Evolution-American Planning","001","","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"520
Community Economic Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590
Contemp Topics-Urb & Reg Pl","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Site Planning","001","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"617
Community Development","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Directed Study","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"761
Central City Planning-Issue","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"781
Planning Thought & Practice","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
Planning & the Legal System","001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Housing and Public Policy","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Fed Budget&Tax Policy&Admin","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"917
Pub Participatn-Plan&Pol Makng","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","16","3.919","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
