"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","815
003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","","54","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Business Organizations I","817
001","","100","1.206","9.0",".","25.0",".","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"Comparative Law","818
001","","36","1.625","19.4","8.3","16.7",".","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"Conflict of Laws","820
001","","23","2.100","30.4",".","17.4",".","4.3",".",".","13.0",".",".",".",".",".",".",".","."
"Bankruptcy Law","001
821","","18","0.889","5.6",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824
001","","39","1.351","12.8",".","25.6",".",".",".",".","2.6",".",".",".",".",".",".","2.6","."
"International Law","827
001","","20","1.900","20.0","10.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Transactions","001
828","","17","2.094","17.6","5.9","35.3",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Land Use Controls","830
001","","7","1.857","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Transactions II","838
001","","10","1.500",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation II","840
001","","21","1.400","19.0",".","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Intro to Environmental Law","848
001","","19","1.882","21.1","15.8","5.3","5.3",".",".",".","10.5",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","849
001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","850
001","","55","1.542","12.7",".","25.5",".","3.6",".",".","12.7",".",".",".",".",".",".",".","."
"","002
850","","27","1.481","18.5",".","22.2",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","82","1.525","14.6",".","24.4",".","3.7",".",".","8.5",".",".",".",".",".",".",".","."
"","852
001","","8","",".",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","37.5"
"","852
003","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
004","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","852
006","","19","",".",".",".",".",".",".",".","89.5",".",".",".",".",".",".",".","10.5"
"Trial Advocacy","Course Total","","61","",".",".",".",".",".",".",".","91.8",".",".",".",".",".",".",".","8.2"
"","854
001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
004","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","","13","",".",".",".",".",".",".",".","84.6",".",".",".",".",".",".",".","15.4"
"","854
006","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","","6","",".",".",".",".",".",".",".","66.7",".",".",".",".","16.7",".",".","16.7"
"","854
009","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","010
854","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
013","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
014","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
015","","17","",".",".",".",".",".",".",".","94.1",".",".",".",".",".",".",".","5.9"
"","854
016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 342 of 426",""
