"","CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Digital Media and Literacy","209","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Aspects Teach, Schl, Educ","240","001","59","3.862","91.5","3.4",".",".",".","1.7","1.7",".",".",".",".",".","1.7",".",".","."
"Videogames & Learning","277","001","148","3.873","83.8","9.5","3.4","0.7","0.7","0.7",".",".",".",".",".",".","1.4",".",".","."
"Intro to Music Education","300","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 2","302","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Music Communities","303","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","305","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Read&Write Across Content Area","309","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311","003","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language Acquisition and Use","","Course Total","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Issues","312","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Becoming Lit. in/out Schools","314","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Methods","316","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dimensions of Literacy","317","001","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Use & Acq in Early Chldhd","326","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Fndtns-Lrng & Dev","339","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Educ Practicum One","340","001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Teaching Vocal Styles in Class","344","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama for Teaching & Learning","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Introduction to Education","364","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internationalizing Ed Knowldg","366","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem Teaching Practicum II","367","001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","370","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","002","23","3.783","73.9","8.7","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","","Course Total","44","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","371","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372","002","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Teaching Science","","Course Total","42","4.000","97.6",".",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","373","001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373","002","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","","Course Total","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gen Ed Pract-Diverse Learners","374","001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","003","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","004","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","005","20","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","","Page 85 of 426"
