"ENGINEERING PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","",""
"Research Proposal-Engr Physics","469
001","","7","3.875","42.9","14.3",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"","471
002","","11","3.227","9.1","45.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","471
003","","27","2.500",".","18.5","14.8","22.2","40.7","3.7",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","Course Total","","38","2.711","2.6","26.3","21.1","15.8","31.6","2.6",".",".",".",".",".",".",".",".",".","."
"Intro-Sci Comput for Engr Phys","476
001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Pract-Engr Physics I","568
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Pract-Engr Physics II","569
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602
002","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in EP","Course Total","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"EP Graduate Seminar","920
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"E P
347","Dept. Total","","86","3.093","29.1","22.1","12.8","7.0","14.0","1.2",".",".",".","9.3",".",".","4.7",".",".","."
