"MEDICAL HISTORY AND BIOETHI Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"133
001
Biology & Society, 1950-Today","144","3.476","33.3","38.2","20.8","5.6","2.1","",".",".",".",".","",".",".","",".","",".",".",".","."
"213
001
Glbl Envir Hlth:Interdis Intro","96","3.763","65.6","26.0","6.3",".",".",".","","1.0",".",".","",".",".","",".","",".",".","1.0","."
"275
001
Sci, Med, & Race: A History","12","3.708","41.7","58.3",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".","."
"508
001
Health, Disease&Healing II","10","3.389","20.0","40.0","20.0","10.0",".","",".",".","10.0",".","",".",".","",".","",".",".",".","."
"558
001
Ethical Issues in Health Care","46","3.409","13.0","60.9","15.2","4.3","2.2","",".",".",".",".","",".",".","",".","",".",".","4.3","."
"699
002
Ind Study in Med History","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"708
001
Health, Disease and Healing II","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"730
001
Ethical Issues in Medicine","18","4.000","100.0",".",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".","."
"919
001
Grad Studies-Medical Hist","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"999
010
Advanced Independent Study","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MED HIST
Dept. Total
452","330","3.573","43.9","36.1","13.6","3.3","1.2","",".","0.3","0.3","",".",".","",".","",".","0.3",".","0.9","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","18","3.250","16.7","38.9","27.8","11.1","5.6","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","95","3.521","37.9","35.8","20.0","5.3","1.1","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","68","3.537","39.7","41.2","14.7","1.5","1.5","",".","1.5",".","",".",".","",".","",".",".",".",".","."
"Senior","122","3.658","48.4","39.3","9.0","2.5","0.8","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","303","3.563","41.3","38.6","14.9","3.6","1.3","",".","0.3",".","",".",".","",".","",".",".",".",".","."
"Special","6","3.750","16.7","16.7",".",".",".","",".",".","16.7","",".",".","",".","",".",".",".","50.0","."
"Graduate","3","***","","","","","","","","","","","",".","",".","",".","33.3",".",".","."
"Prof Yr 1","14","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","4","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","18","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","330","3.573","43.9","36.1","13.6","3.3","1.2","",".","0.3","0.3","",".",".","",".","",".","0.3",".","0.9","."
