"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","15","3.786","60.0","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Construction Systems","290","001","","21","3.000","14.3","14.3","38.1","23.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","62","3.024","12.9","25.8","33.9","11.3","14.5","1.6",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","78","2.981","12.8","14.1","50.0","12.8","6.4","2.6","1.3",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","46","2.902","17.4","15.2","30.4","21.7","6.5","8.7",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","002","","55","3.255","32.7","12.7","38.2","5.5","10.9",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","002","","48","2.760","14.6","2.1","43.8","12.5","20.8","6.3",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","53","3.415","45.3","13.2","30.2","5.7","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","54","3.213","18.5","14.8","59.3","5.6","1.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","53","3.094","24.5","17.0","28.3","20.8","5.7","3.8",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","001","","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","002","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","","Course Total","","53","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","15","3.115","6.7","33.3","20.0","26.7",".",".",".","13.3",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","33","3.136","21.2","33.3","27.3","6.1","3.0","9.1",".",".",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","49","3.939","87.8","12.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","33","3.591","54.5","15.2","24.2","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","86","3.541","30.2","50.0","17.4","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Composite Materials","508","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hydroclimatology","515","001","","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","522","001","","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hazardous Waste Management","","Course Total","","38","3.947","92.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures II","545","001","","8","3.500","50.0","12.5","12.5",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","24","3.042","20.8","16.7","33.3","8.3","20.8",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","76","3.546","39.5","30.3","30.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579","001","","49","3.969","91.8","6.1",".",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"","579","002","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","","Course Total","","57","3.969","78.9","5.3",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Special Topics in Hydrology","619","001","","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Envir Engr","629","001","","6","3.000","33.3",".","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topic-Structural Engr","649","002","","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","669","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
