"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"International Business","200
001","129","3.326","42.6","26.4","13.2","7.8","3.9","3.1","3.1",".","",".","",".",".","",".","",".","",".",".","."
"Comtemp Iss-Gov,Org&Enterprise","314
001","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intercultural Communctn in Bus","320
001","22","3.841","72.7","22.7","4.5",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Contemporary Topics","365
001","34","3.956","94.1","2.9","2.9",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Global Issues in Management","403
001","9","3.222","11.1","44.4","33.3",".","11.1",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Global Marketing Strategy","420
001","11","3.591","27.3","63.6","9.1",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","445
001","6","3.083",".","16.7","83.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Latin Amer Economc Develpmt","462
001","11","3.909","81.8","18.2",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","745
001","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","765
001","25","3.920","84.0","16.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","765
030","54","3.889","81.5","14.8","3.7",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","765
031","40","3.975","95.0","5.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Contemporary Topics","Course Total","119","3.932","86.6","11.8","1.7",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"INTL BUS
235","Dept. Total","344","3.604","64.0","20.1","9.0","2.9","1.7","1.2","1.2","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","3.000","22.2","22.2","33.3",".","11.1","11.1",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","20","3.460","55.0","20.0","5.0","20.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","72","3.369","50.0","30.6","8.3","2.8","2.8","2.8","2.8","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","110","3.582","57.3","22.7","12.7","3.6","1.8","0.9","0.9","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","211","3.477","53.1","25.1","11.4","4.7","2.4","1.9","1.4","",".","",".",".","",".","",".","",".",".",".","."
"Special","","13","3.154","38.5","15.4","30.8",".","7.7",".","7.7","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","120","3.922","85.8","11.7","2.5",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","344","3.604","64.0","20.1","9.0","2.9","1.7","1.2","1.2","",".","",".",".","",".","",".","",".",".",".","."
