"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","12","3.948","91.7","8.3",".","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","17","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","30","3.978","96.7","3.3",".","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Special","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","99","3.873","33.3","4.0","2.0","",".","",".","",".","",".","50.5","",".",".",".","10.1",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
134","3.927","46.3","3.7","1.5","",".","",".","",".","",".","41.0","",".",".",".","7.5",".",".",".","."
