"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","",""
"Junior","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 1","","20","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Prof Yr 2","","6","",".",".",".",".",".",".",".","16.7",".",".",".",".",".",".","83.3","."
"Prof Yr 3","","4","***","","","","","","","","","",".",".",".",".",".","75.0","."
"Prof Yr 4","","15","3.600","53.3",".","26.7","6.7",".",".",".",".",".",".",".",".","13.3",".",".","."
"Professionals","","45","3.545","17.8",".","11.1","2.2",".",".",".","2.2",".",".",".",".","4.4",".","62.2","."
