"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201
Insects and Human Culture","001","","106","3.316","25.5","43.4","18.9","4.7","4.7",".","2.8",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"302
Introduction to Entomology","001","","36","3.306","47.2","16.7","19.4",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"350
Parasitology","001","","23","3.130","34.8","4.3","34.8","4.3","21.7",".",".",".",".",".",".",".",".",".",".","."
"354
Diag Nutrient/Pest of Crops","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"473
Plant-Insect Interactions","001","","14","3.357","50.0","14.3","14.3",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"701
Advanced Taxonomy","001","","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Entomology Teaching","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Colloquium","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","23","",".",".",".",".",".",".",".","47.8",".",".",".","52.2",".",".",".","."
