"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"201
Discovering Food Science","001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","003","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"301
Intro to Sci & Technol of Food","001","","44","3.034","13.6","25.0","34.1","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","25","3.630","56.0","20.0","8.0",".","8.0",".",".",".",".",".",".",".","8.0",".",".","."
"375
Special Topics","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412
Food Analysis","001","","27","2.870","14.8","33.3","11.1","22.2","3.7","14.8",".",".",".",".",".",".",".",".",".","."
"432
Principles-Food Preservation","001","","40","2.775","15.0","2.5","42.5","12.5","25.0",".","2.5",".",".",".",".",".",".",".",".","."
"472
Animal Ag & Sustainable Devel","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","6","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"514
Integrated Food Functionality","001","","33","2.924","12.1","27.3","24.2","12.1","21.2","3.0",".",".",".",".",".",".",".",".",".","."
"550
Fermented Foods and Beverages","001","","37","3.765","64.9","10.8","16.2",".",".",".",".","8.1",".",".",".",".",".",".",".","."
"551
Food Fermentation Laboratory","001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"603
Senior Seminar","001","","33","3.547","42.4","24.2","27.3","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"610
Food Proteins","001","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","8","3.063",".","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","37","3.950","24.3","2.7",".",".",".",".",".","73.0",".",".",".",".",".",".",".","."
"990","009","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","39","",".",".",".",".",".",".",".","71.8",".",".",".","28.2",".",".",".","."
