"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Signals, Information & Comp","203
001","129","3.504","41.1","32.6","17.1","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"","210
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","210
005","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","140","3.964","97.9","1.4",".",".",".",".","0.7",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","122","3.832","83.6","8.2","4.1","2.5","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","83","3.512","47.0","31.3","10.8","6.0","1.2","3.6",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","104","3.361","45.2","20.2","13.5","11.5","5.8","3.8",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","74","3.486","40.5","24.3","28.4","5.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","252
002","14","3.464","42.9","28.6","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","003
252","87","3.420","39.1","34.5","9.2","10.3","4.6","2.3",".",".",".",".",".",".",".",".",".","."
"","252
004","16","3.188","37.5","12.5","18.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","117","3.393","39.3","30.8","10.3","12.0","6.0","1.7",".",".",".",".",".",".",".",".",".","."
"","270
001","61","3.697","62.3","14.8","23.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","37","3.797","70.3","18.9","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","98","3.735","65.3","16.3","18.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
271","24","3.563","37.5","54.2","4.2",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","271
002","51","3.578","47.1","41.2","5.9",".","3.9",".","2.0",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","75","3.573","44.0","45.3","5.3",".","2.7","1.3","1.3",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","303
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","29","3.482","34.5","31.0","24.1","6.9",".",".",".","3.4",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
001","9","3.222","33.3","11.1","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
313","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","29","3.862","86.2","6.9","3.4",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","315
004","20","3.775","70.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","49","3.827","79.6","12.2","4.1","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","001
317","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
002","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Sensors Laboratory","Course Total","34","3.955","91.2","2.9","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Signals and Systems","330
001","101","3.267","18.8","38.6","27.7","8.9","5.0","1.0",".",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","57","3.205","31.6","21.1","21.1","15.8","5.3","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","39","3.141","23.1","17.9","38.5","5.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","136","2.960","20.6","17.6","23.5","21.3","12.5","2.9","1.5",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","71","3.366","47.9","9.9","25.4","1.4","15.5",".",".",".",".",".",".",".",".",".",".","."
"","352
001","91","3.154","22.0","23.1","30.8","14.3","8.8","1.1",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 122 of 426",""
