"L&S","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","2383","3.366","37.3","25.0","18.5","7.9","4.1","1.4","0.6","2.6","",".","0.5","",".","1.1","0.8","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","152","3.013","17.8","19.1","32.9","17.1","10.5","2.0","0.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","587","3.320","34.9","25.7","23.0","9.5","4.4","1.4","1.0",".","",".",".","",".",".",".",".",".","."
"Junior","","643","3.382","40.9","25.7","17.4","8.2","4.2","1.7","0.6",".","",".",".","",".",".","1.2",".",".","."
"Senior","","713","3.411","40.3","28.6","18.0","6.7","3.6","1.5","0.6","0.3","",".",".","",".",".","0.3","0.1",".","."
"Undergraduates","","2095","3.343","37.3","26.2","20.3","8.7","4.5","1.6","0.7","0.1","",".",".","",".",".","0.5","0.0",".","."
"Special","","67","3.390","26.9","14.9","11.9","9.0","1.5","1.5",".","31.3","",".",".","",".",".",".","3.0",".","."
"Graduate","","220","3.790","40.9","16.4","3.2",".","0.5",".",".","17.3","",".","5.0","",".","12.3","4.1",".","0.5","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".","100.0",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".","100.0",".",".","."
"","Dept. Total","2383","3.366","37.3","25.0","18.5","7.9","4.1","1.4","0.6","2.6","",".","0.5","",".","1.1","0.8","0.1","0.0","."
