"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"101
Intro to International Studies","001","","86","3.488","38.4","34.9","15.1","5.8","4.7",".",".",".",".",".",".",".","1.2",".",".","."
"310","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"310","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","009","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","011","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","015","","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"310","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"310","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","61","",".",".",".",".",".",".",".",".",".","98.4","1.6",".",".",".",".","."
"320
Contemporary Issues-Intl St","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"373
Globalizatn, Poverty&Develpmnt","001","","20","3.579","30.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"401","001","","25","3.457","28.0","36.0","24.0",".","4.0",".",".",".",".",".",".",".","4.0",".","4.0","."
"401","002","","12","3.417","25.0","50.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","Course Total","","37","3.443","27.0","40.5","21.6",".","5.4",".",".",".",".",".",".",".","2.7",".","2.7","."
"403
Culture in Age of Globalizatn","001","","21","3.548","52.4","19.0","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"434
The Politics of Human Rights","001","","20","3.375","35.0","35.0","5.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"535
Women's Global Health","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"602
Politics&Policy in Global Econ","001","","16","3.563","43.8","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
