"","990
030","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
068","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
072","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","22","",".",".",".",".",".",".","",".","77.3","",".",".","",".","13.6",".",".","9.1","."
"POP HLTH
810","Dept. Total","1036","3.612","51.9","26.8","12.9","3.1","1.1","0.2","",".","1.8","",".","0.6","",".","0.3","0.8",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","2.583",".","16.7","50.0",".","16.7","16.7","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","77","3.355","19.5","42.9","27.3","6.5","2.6",".","",".",".","",".",".","",".",".","1.3",".",".","."
"Junior","","208","3.458","26.9","41.8","28.4","1.9","1.0",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","254","3.517","40.9","35.0","14.6","7.1","2.0","0.4","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","545","3.461","32.1","38.5","22.0","5.0","1.8","0.4","",".",".","",".",".","",".",".","0.2",".",".","."
"Special","","16","3.750","62.5","12.5","6.3","6.3",".",".","",".",".","",".",".","",".",".","12.5",".",".","."
"Graduate","","134","3.822","61.9","14.9","2.2","2.2",".",".","",".","14.2","",".",".","",".","2.2",".",".","2.2","."
"Prof Yr 1","","71","3.963","87.3","1.4","2.8",".",".",".","",".",".","",".","8.5","",".",".",".",".",".","."
"Prof Yr 2","","18","3.975","83.3","5.6",".",".",".",".","",".",".","",".",".","",".",".",".",".","11.1","."
"Prof Yr 3","","24","3.838","79.2","8.3","12.5",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","228","3.851","76.3","18.4","2.2","0.4","0.4",".","",".",".","",".",".","",".",".","2.2",".",".","."
"Professionals","","341","3.865","79.2","13.5","2.9","0.3","0.3",".","",".",".","",".","1.8","",".",".","1.5",".","0.6","."
"","Dept. Total","1036","3.612","51.9","26.8","12.9","3.1","1.1","0.2","",".","1.8","",".","0.6","",".","0.3","0.8",".","0.5","."
