"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"General Geology","100","001","313","3.434","33.9","33.2","21.7","3.8","2.9","1.3","0.3","2.2",".",".",".",".","0.3","0.3",".","."
"Survey of Oceanography","105","001","30","3.519","50.0","10.0","16.7","10.0","3.3",".",".","10.0",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","84","3.107","26.2","23.8","23.8","9.5","11.9","3.6","1.2",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","147","2.993","23.8","18.4","24.5","11.6","17.7","2.0","2.0",".",".",".",".",".",".",".",".","."
"Volcanoes and Civilization","111","001","99","3.419","47.5","19.2","14.1","12.1","6.1",".","1.0",".",".",".",".",".",".",".",".","."
"Sci Behind News-Wrld Around Us","115","001","112","2.968","22.3","16.1","28.6","9.8","13.4","3.6","2.7","2.7",".",".",".",".",".","0.9",".","."
"Monitoring Earth by Satellite","118","001","61","2.803","19.7","16.4","19.7","23.0","11.5","4.9","4.9",".",".",".",".",".",".",".",".","."
"Life in the Universe","160","001","50","3.000","18.0","24.0","24.0","16.0","16.0",".","2.0",".",".",".",".",".",".",".",".","."
"Directed Study","199","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Geologic Evolution of Earth","204","001","57","2.921","12.3","15.8","38.6","10.5","22.8",".",".",".",".",".",".",".",".",".",".","."
"Geomorphology","320","001","9","3.750","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Gems: Sci Behind the Sparkle","331","001","194","3.254","28.9","26.8","23.7","10.3","7.7","2.1",".","0.5",".",".",".",".",".",".",".","."
"Intro Geophysics:Dynmic  Earth","350","001","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Petrology","370","001","56","3.045","21.4","23.2","19.6","21.4","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"Principles of Geochemistry","375","001","13","3.500","53.8",".","23.1","15.4",".",".",".",".",".",".",".",".",".","7.7",".","."
"Topics in Geology","376","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Sedimentology and Stratigraphy","430","001","16","3.429","37.5","12.5","31.3",".","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"Structural Geology","455","001","45","2.920","15.6","13.3","35.6","15.6","13.3","4.4",".",".",".",".",".",".","2.2",".",".","."
"Conducted Field Trip","457","001","16","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles-Econ Geology","515","001","17","3.367","29.4","23.5","17.6","17.6",".",".",".","11.8",".",".",".",".",".",".",".","."
"Mountain Belts","556","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629","001","8","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","692","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Crystal Chemistry","765","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electron Microprobe Anal","777","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","7","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"","875","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 233 of 426",""
