"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"201
BME Fundamentals & Design","001","","89","3.629","46.1","37.1","13.5","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","001","","81","3.846","74.1","21.0","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","109","3.555","43.1","35.8","11.0","9.2","0.9",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","17","3.294","17.6","47.1","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","11","3.136","9.1","27.3","54.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"389","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","083","","17","3.861","88.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"399","089","","7","3.906","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","125","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","126","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","129","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","133","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 111 of 426",""
