"","999
007","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
008","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
012","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Work","Course Total","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".","",".","",".",".",".","14.3","."
"ECON
296","Dept. Total","4618","3.169","28.7","23.0","22.2","14.1","9.5","1.5","0.5","0.3","0.0","0.0","",".","",".","0.1","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","360","2.910","12.2","20.8","26.4","22.2","14.7","2.5","0.3",".",".",".","",".","",".",".","0.8",".","."
"Sophomore","","1055","3.068","22.1","20.7","24.8","18.9","11.3","1.7","0.5",".",".",".","",".","",".","0.1",".",".","."
"Junior","","1046","3.059","21.5","24.9","21.8","14.8","13.8","2.5","0.6","0.1",".",".","",".","",".","0.1",".",".","."
"Senior","","1467","3.216","30.4","23.0","22.4","14.0","8.0","1.0","0.7","0.1",".","0.1","",".","",".","0.1",".",".","."
"Undergraduates","","3928","3.103","24.1","22.7","23.2","16.3","11.0","1.7","0.6","0.1",".","0.1","",".","",".","0.1","0.1",".","."
"Special","","84","3.552","52.4","14.3","16.7","2.4","3.6",".","1.2","7.1",".",".","",".","",".",".","1.2","1.2","."
"Graduate","","606","3.672","54.8","26.4","16.3","1.3","0.2",".",".","0.8","0.2",".","",".","",".",".",".",".","."
"","Dept. Total","4618","3.169","28.7","23.0","22.2","14.1","9.5","1.5","0.5","0.3","0.0","0.0","",".","",".","0.1","0.1","0.0","."
