"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","72","2.485","11.1","18.1","16.7","11.1","15.3","15.3","5.6",".",".",".",".",".",".",".","6.9","."
"","100","002","91","2.780","6.6","24.2","33.0","19.8","6.6","5.5","4.4",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","163","2.655","8.6","21.5","25.8","16.0","10.4","9.8","4.9",".",".",".",".",".",".",".","3.1","."
"Archaeology & Prehist World","102","001","89","3.023","24.7","9.0","32.6","13.5","13.5","3.4",".","3.4",".",".",".",".",".",".",".","."
"","104","001","348","3.730","70.7","17.8","5.2","2.6","1.7","0.3","1.1",".",".",".",".",".",".",".",".","0.6"
"","104","002","399","3.795","78.2","12.0","5.8","1.0","0.8","0.5","1.0",".",".",".",".",".",".",".",".","0.8"
"Cult Anthro&Human Diversity","","Course Total","747","3.765","74.7","14.7","5.5","1.7","1.2","0.4","1.1",".",".",".",".",".",".",".",".","0.7"
"Principles - Biological Anthro","105","001","251","3.573","41.4","35.5","14.3","2.8","1.2","0.8",".","2.0",".",".",".",".",".",".",".","2.0"
"Principles of Archaeology","212","001","41","3.573","73.2","2.4","17.1",".","2.4",".","4.9",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Culture and Health","265","001","58","3.061","10.3","29.3","36.2","10.3","10.3","1.7",".","1.7",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","18","3.433","55.6",".","11.1","5.6","5.6","5.6",".","16.7",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","33","3.250","39.4","15.2","27.3","3.0","6.1","3.0","3.0",".",".",".",".",".","3.0",".",".","."
"Intro Ling-Descript&Theoret","301","001","7","2.786","14.3","28.6",".","14.3","42.9",".",".",".",".",".",".",".",".",".",".","."
"Hominoid Evolution","302","001","25","3.348","40.0",".","44.0",".","8.0",".",".","4.0",".",".",".",".","4.0",".",".","."
"Human Skeletal Anatomy","303","001","10","3.400","40.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Heredity,Envr&Human Popultn","304","001","47","3.358","17.0","44.7","21.3","4.3","4.3",".",".","8.5",".",".",".",".",".",".",".","."
"Indians of North America","314","001","20","3.367","20.0","25.0","20.0","10.0",".",".",".","20.0",".",".",".",".","5.0",".",".","."
"The Origins of Civilization","322","001","25","3.761","60.0","20.0","12.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Lithics and Archaeology","337","001","14","3.393","42.9","28.6","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Quechua","364","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","28","2.964","17.9","21.4","21.4","14.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Primatol Research","420","001","8","3.500","37.5","12.5","37.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Anthropology by Women","443","001","18","3.529","22.2","55.6","16.7",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","455","00A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","455","00B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdy Abroad:Tpc-Cult Anthro","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Anthropology of Dance","460","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","001","15","3.400","53.3","6.7","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","490","002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","25","3.620","68.0","8.0","12.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Representatn in Wisc","520","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","696","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","696","002","6","3.893","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","","Course Total","10","3.935","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
